provincia,canton,latitud,longitud,AÑO,ASESINATO,FEMICIDIO,HOMICIDIO,SICARIATO,TOTAL
AZUAY,AZUAY,-2.9010525,-79.0198115,2024.0,2.0,0.0,3.0,1.0,6.0
AZUAY,AZUAY,-3.1622550614293936,-79.15087818190585,2024.0,2.0,0.0,1.0,0.0,3.0
AZUAY,AZUAY,-2.8012084567100923,-78.77313267561347,2024.0,0.0,0.0,1.0,0.0,1.0
BOLÍVAR,BOLÍVAR,-1.5933559453094752,-79.00195369374596,2024.0,2.0,0.0,0.0,0.0,2.0
BOLÍVAR,BOLÍVAR,-1.7214835246847695,-79.04208563291301,2024.0,0.0,1.0,0.0,0.0,1.0
CAÑAR,CAÑAR,-2.7453174760372523,-78.85464986804966,2024.0,2.0,0.0,0.0,0.0,2.0
CAÑAR,CAÑAR,-2.560066016198399,-78.94030942159786,2024.0,1.0,0.0,1.0,0.0,2.0
CAÑAR,CAÑAR,-2.4226494349657304,-79.34665371328762,2024.0,23.0,0.0,0.0,0.0,23.0
CARCHI,CARCHI,0.8106937646994191,-77.72242574706743,2024.0,0.0,0.0,1.0,0.0,1.0
CARCHI,CARCHI,0.5629594172029508,-77.77545377706274,2024.0,0.0,1.0,1.0,0.0,2.0
CHIMBORAZO,CHIMBORAZO,-1.73567958520902,-78.7262335802787,2024.0,5.0,1.0,2.0,0.0,8.0
CHIMBORAZO,CHIMBORAZO,-1.7389883629990062,-78.77045395066534,2024.0,0.0,1.0,0.0,0.0,1.0
COTOPAXI,COTOPAXI,-0.9361826977397582,-78.61748633031968,2024.0,3.0,0.0,1.0,0.0,4.0
COTOPAXI,COTOPAXI,-0.9433822936273738,-79.23452072483649,2024.0,2.0,0.0,0.0,0.0,2.0
COTOPAXI,COTOPAXI,-1.11234916124104,-79.20151538165472,2024.0,0.0,0.0,1.0,0.0,1.0
COTOPAXI,COTOPAXI,-1.044376629200021,-78.59365313893335,2024.0,1.0,0.0,0.0,0.0,1.0
EL ORO,EL ORO,-3.3356421091246795,-79.81700751216624,2024.0,44.0,1.0,1.0,0.0,46.0
EL ORO,EL ORO,-3.266889621869932,-79.97126382915992,2024.0,58.0,0.0,1.0,0.0,59.0
EL ORO,EL ORO,-3.6949578592424,-79.61406377898986,2024.0,8.0,0.0,0.0,0.0,8.0
EL ORO,EL ORO,-3.480749616423377,-80.22836788856449,2024.0,22.0,1.0,3.0,1.0,27.0
EL ORO,EL ORO,-3.446761132715953,-79.96222771028793,2024.0,19.0,0.0,0.0,0.0,19.0
ESMERALDAS,ESMERALDAS,0.9618310830638832,-79.66466702258148,2024.0,74.0,2.0,6.0,0.0,82.0
ESMERALDAS,ESMERALDAS,0.594702660477162,-79.02215491936377,2024.0,2.0,0.0,0.0,0.0,2.0
ESMERALDAS,ESMERALDAS,0.866802362507194,-79.85243168332373,2024.0,8.0,0.0,1.0,0.0,9.0
ESMERALDAS,ESMERALDAS,0.323920791843248,-79.478203944209,2024.0,11.0,1.0,0.0,0.0,12.0
ESMERALDAS,ESMERALDAS,1.2651025980065922,-78.84975920265786,2024.0,8.0,1.0,1.0,0.0,10.0
GUAYAS,GUAYAS,-2.2373458545230998,-80.29241947269747,2024.0,156.0,0.0,2.0,0.0,158.0
GUAYAS,GUAYAS,-2.2449021059331344,-79.90813364124419,2024.0,87.0,1.0,1.0,0.0,89.0
GUAYAS,GUAYAS,-2.1925141,-79.87955769999999,2024.0,53.0,1.0,0.0,0.0,54.0
GUAYAS,GUAYAS,-2.2034018180453097,-79.91235079072707,2024.0,80.0,0.0,1.0,0.0,81.0
GUAYAS,GUAYAS,-2.1762605,-79.8923192,2024.0,25.0,1.0,0.0,0.0,26.0
GUAYAS,GUAYAS,-2.076527440522158,-79.94034415402955,2024.0,118.0,0.0,1.0,0.0,119.0
GUAYAS,GUAYAS,-2.1349967,-79.93186229999999,2024.0,156.0,0.0,0.0,0.0,156.0
GUAYAS,GUAYAS,-2.1710124526552605,-79.950943170207,2024.0,11.0,0.0,0.0,0.0,11.0
GUAYAS,GUAYAS,-2.4097676770784284,-80.36453816943789,2024.0,60.0,0.0,1.0,0.0,61.0
